,x,y,i
0,150.9,-205.4,0
1,153.04978,-432.33361,0
2,153.04978,-432.33361,0
3,1288.1466,-430.70503,0
4,1288.1466,-430.70503,0
5,1288.1466,584.65169,0
6,1288.1466,584.65169,0
7,1288.1466,1187.3906,0
8,1288.1466,1187.3906,0
9,1095.0844,1383.5839999999998,0
10,1095.0844,1383.5839999999998,0
11,969.46871,1418.2360999999999,0
12,969.46871,1418.2360999999999,0
13,1394.2561,1653.5754,0
14,1394.2561,1653.5754,0
15,1376.4386,1681.1669,0
16,1376.4386,1681.1669,0
17,900.25485,1421.3827999999999,0
18,900.25485,1421.3827999999999,0
19,900.25485,1380.6466999999998,0
20,900.25485,1380.6466999999998,0
21,966.14619,1380.6466999999998,0
22,966.14619,1380.6466999999998,0
23,1203.0,1153.1,0
24,1203.0,1153.1,0
25,1203.0,623.7,0
26,1203.0,623.7,0
27,985.2,406.96,0
28,985.2,406.96,0
29,1051.61,389.93,0
30,1051.61,389.93,0
31,1203.0,329.47895,0
32,1203.0,329.47895,0
33,1203.0,-55.111,0
34,1203.0,-55.111,0
35,930.86,-205.4,0
36,930.86,-205.4,0
37,150.9,-205.4,0
38,558.8,11.93,1
39,720.32,15.98,1
40,720.32,15.98,1
41,720.27,174.0,1
42,720.27,174.0,1
43,559.34,171.337,1
44,559.34,171.337,1
45,558.8,11.93,1
46,646.56,681.62,2
47,808.0629999999999,681.38,2
48,808.0629999999999,681.38,2
49,808.0629999999999,845.1800000000001,2
50,808.0629999999999,845.1800000000001,2
51,644.69,845.1800000000001,2
52,644.69,845.1800000000001,2
53,646.56,681.62,2
54,480.04184,1681.4069,3
55,642.07401,1681.1669,3
56,642.07401,1681.1669,3
57,642.07401,1844.9669,3
58,642.07401,1844.9669,3
59,478.70101000000005,1844.9669,3
60,478.70101000000005,1844.9669,3
61,480.04184,1681.4069,3
62,-19.0,-432.33361,4
63,-19.0,0.0,4
64,-19.0,0.0,4
65,0.0,0.0,4
66,0.0,0.0,4
67,0.0,33.0,4
68,0.0,33.0,4
69,-19.0,33.0,4
70,-19.0,33.0,4
71,-19.0,498.5,4
72,-19.0,498.5,4
73,0.0,498.5,4
74,0.0,498.5,4
75,0.0,531.5,4
76,0.0,531.5,4
77,-19.0,531.5,4
78,-19.0,531.5,4
79,-19.0,993.0,4
80,-19.0,993.0,4
81,0.0,993.0,4
82,0.0,993.0,4
83,-0.33674026,1026.0,4
84,-0.33674026,1026.0,4
85,-19.0,1026.0,4
86,-19.0,1026.0,4
87,-19.0,1484.4149,4
88,-19.0,1484.4149,4
89,0.0,1484.4149,4
90,0.0,1484.4149,4
91,0.0,1521.5,4
92,0.0,1521.5,4
93,-19.0,1521.5,4
94,-19.0,1521.5,4
95,-19.0,2030.0,4
96,-19.0,2030.0,4
97,0.0,2030.0,4
98,0.0,2030.0,4
99,0.0,2063.0,4
100,0.0,2063.0,4
101,-19.0,2063.0,4
102,-19.0,2063.0,4
103,-19.0,2490.0,4
104,-19.0,2490.0,4
105,0.0,2490.0,4
106,0.0,2490.0,4
107,-0.33674026,2543.0,4
108,-0.33674026,2543.0,4
109,-19.0,2543.0,4
110,-19.0,2543.0,4
111,-19.0,2625.135,4
112,-19.0,2625.135,4
113,-500.0,2625.135,4
114,-500.0,2625.135,4
115,-500.0,-432.33361,4
116,-500.0,-432.33361,4
117,-19.0,-432.33361,4
118,839.7,2445.5,5
119,400.00000000000006,2835.5,5
120,400.00000000000006,2835.5,5
121,400.00000000000006,2967.9462,5
122,400.00000000000006,2967.9462,5
123,839.7,2571.0489,5
124,839.7,2571.0489,5
125,1337.0245,2445.5,5
126,1337.0245,2445.5,5
127,1361.9628,2400.9469,5
128,1361.9628,2400.9469,5
129,1888.7651,2517.2364,5
130,1888.7651,2517.2364,5
131,1888.7651,2445.5,5
