video,person_id,body_orientation,pedestrian_gender,pedestrian_direction,pedestrian_passes_wall_area,breach,transportation,innerside_of_pedestrian_group,outerside_of_pedestrian_group,pedestrian_group_size,lead_pedestrian,pedestrian_headphones,pedestrian_on_phone,motor_powered,entry_location,exit_location,pedestrian_group_id
2023-11-14,0,Baseline,Woman,Left,0,0,Scooter,,,1,1,0,0,1,top,bottom,
2023-11-14,1,Baseline,Woman,Left,0,0,Scooter,,,1,1,0,0,1,top,bottom,
2023-11-14,2,Baseline,Woman,Right,1,0,Walking,,,1,1,0,0,0,top,bottom,
2023-11-14,3,Baseline,Man,Right,1,1,Walking,1,0,2,0,0,1,0,top,top,1
2023-11-14,4,Baseline,Man,Right,1,1,Walking,0,1,2,1,0,0,0,top,top,1
2023-11-14,5,Baseline,Man,Right,0,0,Bike,,,1,1,1,0,0,bottom,top,
2023-11-14,6,Baseline,Man,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,9,Baseline,Woman,Left,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,10,Baseline,Man,Right,1,1,Walking,,,1,1,1,0,0,top,top,
2023-11-14,11,Baseline,Man,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,12,Baseline,Man,Left,0,0,Scooter,,,1,1,1,0,1,top,bottom,
2023-11-14,13,Baseline,Man,Left,0,0,Walking,,,1,1,0,0,0,bottom,top,
2023-11-14,14,Baseline,Man,Left,0,0,Scooter,,,1,1,0,0,1,top,bottom,
2023-11-14,15,Baseline,Man,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,16,Baseline,Man,Right,1,0,Walking,1,0,2,1,0,0,0,top,bottom,3
2023-11-14,17,Baseline,Woman,Right,1,0,Walking,0,1,2,0,0,0,0,top,bottom,3
2023-11-14,18,Baseline,Woman,Left,1,0,Walking,,,1,1,0,1,0,top,bottom,
2023-11-14,19,Baseline,Man,Right,1,1,Walking,1,0,2,1,0,0,0,top,top,4
2023-11-14,20,Baseline,Woman,Right,1,1,Walking,0,1,2,0,0,0,0,top,top,4
2023-11-14,21,Baseline,Man,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,22,Baseline,Woman,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,23,Baseline,Woman,Left,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,24,Baseline,Man,Right,0,0,Bike,,,1,1,0,0,0,bottom,top,
2023-11-14,25,Baseline,Woman,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,26,Baseline,Woman,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,27,Baseline,Man,Right,1,1,Walking,,,1,1,1,0,0,top,top,
2023-11-14,28,Baseline,Man,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,29,Baseline,Woman,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,30,Baseline,Woman,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,31,Baseline,Woman,Left,0,0,Walking,,,1,1,1,0,0,top,bottom,
2023-11-14,32,Baseline,Woman,Left,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,33,Baseline,Woman,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,34,Baseline,Woman,Left,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,35,Baseline,Woman,Left,0,0,Scooter,,,1,1,1,0,1,top,bottom,
2023-11-14,36,Baseline,Woman,Right,1,1,Walking,1,0,2,1,0,0,0,top,top,5
2023-11-14,37,Baseline,Woman,Right,1,1,Walking,0,1,2,0,0,0,0,top,top,5
2023-11-14,38,Baseline,Woman,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,39,Baseline,Man,Left,1,1,Bike,,,1,1,0,0,0,top,top,
2023-11-14,40,Baseline,Man,Left,1,1,Scooter,,,1,1,0,0,1,top,top,
2023-11-14,41,Baseline,Woman,Left,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,42,Baseline,Woman,Left,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,43,Baseline,Woman,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,44,Baseline,Woman,Left,0,0,Scooter,,,1,1,0,0,1,top,bottom,
2023-11-14,45,Baseline,Man,Right,0,0,Bike,,,1,1,0,0,1,bottom,top,
2023-11-14,46,Baseline,Woman,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,47,Baseline,Man,Left,1,1,Walking,,,1,1,1,1,0,top,top,
2023-11-14,48,Baseline,Woman,Left,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,49,Baseline,Man,Left,0,0,Scooter,,,1,1,1,0,1,top,bottom,
2023-11-14,50,Baseline,Woman,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,51,Baseline,Man,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,52,Baseline,Woman,Left,1,1,Walking,,,1,1,1,0,0,top,top,
2023-11-14,53,Baseline,Man,Left,1,1,Scooter,,,1,1,0,0,1,top,top,
2023-11-14,54,Baseline,Man,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,55,Baseline,Woman,Left,1,1,Scooter,,,1,1,1,0,1,top,top,
2023-11-14,56,Baseline,Woman,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,57,Baseline,Woman,Left,1,1,Walking,,,1,1,1,1,0,top,top,
2023-11-14,58,Baseline,Man,Left,0,0,Walking,,,1,1,0,0,0,bottom,top,
2023-11-14,59,Baseline,Woman,Left,0,0,Bike,,,1,1,1,0,0,top,bottom,
2023-11-14,60,Baseline,Woman,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,61,Baseline,Woman,Left,1,1,Walking,,,1,1,1,0,0,top,top,
2023-11-14,62,Baseline,Man,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,63,Baseline,Man,Left,0,0,Walking,,,1,1,0,1,0,top,bottom,
2023-11-14,64,Baseline,Woman,Left,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,65,Baseline,Woman,Left,1,1,Walking,0,1,2,1,0,0,0,top,top,6
2023-11-14,66,Baseline,Woman,Left,1,1,Walking,1,0,2,0,0,0,0,top,top,6
2023-11-14,67,Baseline,Woman,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,68,Baseline,Woman,Right,1,0,Walking,,,1,1,0,0,0,top,bottom,
2023-11-14,69,Baseline,Woman,Right,1,1,Walking,,,1,1,1,0,0,top,top,
2023-11-14,70,Baseline,Man,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,71,Baseline,Woman,Right,1,1,Walking,0,1,2,0,0,0,0,top,top,7
2023-11-14,72,Baseline,Man,Right,1,1,Walking,1,0,2,1,0,0,0,top,top,7
2023-11-14,73,Baseline,Man,Left,0,0,Bike,,,1,1,0,0,0,top,bottom,
2023-11-14,74,Baseline,Man,Right,1,1,Walking,,,1,1,0,1,0,bottom,top,
2023-11-14,75,Baseline,Woman,Right,1,0,Scooter,,,1,1,1,0,1,top,bottom,
2023-11-14,76,Baseline,Woman,Left,0,0,Bike,,,1,1,1,0,0,top,bottom,
2023-11-14,77,Baseline,Woman,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,78,Baseline,Woman,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,79,Baseline,Man,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,80,Baseline,Woman,Left,0,0,Scooter,,,1,1,0,0,1,top,bottom,
2023-11-14,81,Baseline,Woman,Left,0,0,Walking,,,1,1,0,1,0,bottom,top,
2023-11-14,82,Baseline,Woman,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,83,Baseline,Man,Right,0,0,Walking,,,1,1,0,0,0,bottom,top,
2023-11-14,84,Baseline,Woman,Right,0,0,Walking,,,1,1,0,1,0,top,bottom,
2023-11-14,85,Baseline,Man,Right,0,0,Walking,,,1,1,0,0,0,bottom,top,
2023-11-14,86,Baseline,Woman,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,87,Baseline,Woman,Right,1,1,Walking,,,1,1,0,1,0,top,top,
2023-11-14,88,Baseline,Man,Right,1,0,Walking,,,1,1,1,0,0,top,top,
2023-11-14,89,Baseline,Man,Right,0,0,Scooter,,,1,1,0,0,1,bottom,top,
2023-11-14,90,Baseline,Man,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,91,Baseline,Man,Right,1,1,Walking,,,1,1,1,0,0,top,top,
2023-11-14,92,Baseline,Man,Right,0,0,Scooter,,,1,1,1,0,1,bottom,top,
2023-11-14,93,Baseline,Woman,Right,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,94,Baseline,Woman,Left,0,0,Walking,,,1,1,0,0,0,top,bottom,
2023-11-14,95,Baseline,Woman,Right,1,0,Walking,,,1,1,0,0,0,top,bottom,
2023-11-14,96,Baseline,Woman,Left,0,0,Scooter,,,1,1,0,0,1,top,bottom,
2023-11-14,97,Baseline,Man,Left,0,0,Scooter,,,1,1,0,0,1,top,bottom,
2023-11-14,98,Baseline,Woman,Left,1,1,Walking,,,1,1,0,0,0,top,top,
2023-11-14,99,Baseline,Woman,Right,0,0,Walking,,,1,1,0,1,0,bottom,top,
