breach,type_of_interaction,gaze,talk,distance,pedestrian_gender,actor_gender,transportation,pedestrian_group_size,location,date,coder_id,enter,exit,outcome,group_lead_pedestrian
0,Sign,TRUE,FALSE,5 ft,Woman,M,Walking,1,RIMAC,2018-12-25,1,0:00:32,0:00:40,Diverge,TRUE
0,Sign,TRUE,FALSE,5 ft,Man,M,Walking,2,RIMAC,2018-12-25,1,0:00:42,0:00:46,Diverge,TRUE
0,Sign,TRUE,FALSE,5 ft,Man,M,Walking,2,RIMAC,2018-12-25,1,0:00:42,0:00:46,Diverge,FALSE
1,Sign,TRUE,FALSE,5 ft,Man,M,Bike,1,RIMAC,2018-12-25,1,0:00:00,0:00:00,Break,TRUE
0,Sign,TRUE,FALSE,5 ft,Other/Uncertain,W,Other,,PC,2018-08-23,2,"","","",FALSE
0,Sign,TRUE,FALSE,5 ft,Woman,W,Walking,1,PC,2018-08-23,2,0:00:47,0:00:51,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,5 ft,Man,W,Skateboard,1,PC,2018-08-23,2,0:01:33,0:01:34,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,5 ft,Man,W,Walking,1,PC,2018-08-23,2,0:00:17,0:00:20,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Other/Uncertain,W,Other,,PC,2018-08-23,2,"","","",FALSE
0,Sign,FALSE,FALSE,5 ft,Woman,W,Walking,1,PC,2018-08-23,2,0:00:11,0:00:14,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Man,W,Walking,1,PC,2018-08-23,2,0:00:58,0:01:01,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Man,W,Walking,1,PC,2018-08-23,2,0:01:47,0:01:51,Diverge,TRUE
0,Sign,FALSE,FALSE,5 ft,Man,W,Walking,1,PC,2018-08-23,2,0:00:30,0:00:33,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Man,W,Bike,1,PC,2018-08-23,2,0:01:12,0:01:14,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,0:00:43,0:00:45,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,0:01:15,0:01:16,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,10 ft,Man,W,Bike,1,PC,2018-08-23,2,0:02:00,0:02:04,Diverge,TRUE
0,Sign,TRUE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,0:00:03,0:00:07,Diverge,TRUE
0,Sign,TRUE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,0:01:26,0:01:35,Diverge,TRUE
0,Sign,TRUE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,0:00:38,0:00:41,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,0:01:52,0:01:54,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,0:01:12,0:01:16,Within Bounds No Divergence,TRUE
1,Sign,FALSE,FALSE,10 ft,Man,W,Walking,2,PC,2018-08-23,2,"","",Break,TRUE
1,Sign,FALSE,FALSE,10 ft,Woman,W,Walking,2,PC,2018-08-23,2,"","",Break,FALSE
0,Sign,FALSE,FALSE,10 ft,Man,W,Skateboard,1,PC,2018-08-23,2,0:01:13,0:01:14,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,10 ft,Other/Uncertain,W,Other,,PC,2018-08-23,2,"","","",FALSE
0,Sign,FALSE,FALSE,10 ft,Man,W,Bike,1,PC,2018-08-23,2,0:00:46,0:00:47,Within Bounds No Divergence,TRUE
1,Sign,FALSE,FALSE,10 ft,Woman,W,Other,1,PC,2018-08-23,2,"","",Break,TRUE
0,Sign,FALSE,FALSE,10 ft,Woman,W,Walking,1,PC,2018-08-23,2,0:00:57,0:01:00,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,10 ft,Man,W,Walking,2,PC,2018-08-23,2,0:01:12,0:01:18,Diverge,TRUE
0,Sign,FALSE,FALSE,10 ft,Man,W,Walking,2,PC,2018-08-23,2,0:01:12,0:01:18,Diverge,FALSE
1,Sign,FALSE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,"","",Break,TRUE
0,Sign,FALSE,FALSE,10 ft,Woman,W,Walking,1,PC,2018-08-23,2,0:00:52,0:00:56,Within Bounds No Divergence,TRUE
1,Sign,FALSE,FALSE,10 ft,Man,W,Walking,1,PC,2018-08-23,2,"","",Break,TRUE
0,Sign,TRUE,FALSE,5 ft,Man,M,Bike,1,PC,2018-08-23,2,0:01:08,0:01:09,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,5 ft,Man,M,Walking,2,PC,2018-08-23,2,0:00:57,0:01:00,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,5 ft,Woman,M,Walking,2,PC,2018-08-23,2,0:00:57,0:01:00,Within Bounds No Divergence,FALSE
0,Sign,FALSE,FALSE,5 ft,Man,M,Bike,1,PC,2018-08-23,2,0:00:18,0:00:19,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Woman,M,Walking,1,PC,2018-08-23,2,0:00:58,0:01:09,Diverge,TRUE
1,Sign,FALSE,FALSE,5 ft,Woman,M,Walking,1,PC,2018-08-23,2,"","",Break,TRUE
0,Sign,FALSE,FALSE,5 ft,Woman,M,Walking,1,PC,2018-08-23,2,0:01:03,0:01:05,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Man,M,Walking,2,PC,2018-08-23,2,0:01:15,0:01:18,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Woman,M,Walking,2,PC,2018-08-23,2,0:01:15,0:01:18,Within Bounds No Divergence,FALSE
0,Sign,FALSE,FALSE,5 ft,Man,M,Walking,1,PC,2018-08-23,2,0:01:19,0:01:21,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Man,M,Walking,1,PC,2018-08-23,2,0:01:28,0:01:31,Within Bounds No Divergence,TRUE
0,Sign,FALSE,FALSE,5 ft,Man,M,Walking,1,PC,2018-08-23,2,0:01:28,0:01:33,Diverge,TRUE
0,Sign,FALSE,FALSE,5 ft,Man,M,Skateboard,1,PC,2018-08-23,2,0:01:34,0:01:36,Within Bounds No Divergence,TRUE
0,Sign,TRUE,FALSE,10 ft,Woman,M,Walking,1,PC,2018-08-23,2,0:00:09,0:00:12,Within Bounds No Divergence,TRUE
