gaze,distance,talk,n,experiment,body_orientation,type_of_interaction,condition,pedestrian_gender
FALSE,5 ft,FALSE,247,1,,,,
FALSE,5 ft,TRUE,240,1,,,,
FALSE,10 ft,FALSE,235,1,,,,
FALSE,10 ft,TRUE,223,1,,,,
TRUE,5 ft,FALSE,222,1,,,,
TRUE,5 ft,TRUE,227,1,,,,
TRUE,10 ft,FALSE,222,1,,,,
TRUE,10 ft,TRUE,245,1,,,,
,,,261,2,Baseline,,,
,,,108,2,BackToBack,,,
,,,211,2,FaceToFace,,,
,,,106,2,OffsetFacing,,,
FALSE,,,125,3,,Mural,,
FALSE,,,314,3,,Sign,,
TRUE,,,159,3,,Mural,,
TRUE,,,276,3,,Sign,,
,,,12,4,,,Baseline,Man
,,,14,4,,,Baseline,Woman
,,,10,4,,,Chairs,Man
,,,12,4,,,Chairs,Woman
,,,24,4,,,Humans,Man
,,,27,4,,,Humans,Woman
